,title,price,stars,sales,disc
290,Nokia G42 5G | Snapdragon® 480+ 5G | 50MP Triple AI Camera | 11GB RAM (6GB RAM + 5GB Virtual RAM) | 128GB Storage | 5000mAh Battery | 2 Years Android Upgrades | 20W Fast Charger Included | So Purple,"12,499",3.7 out of 5 stars,279,
291,"OnePlus Nord 3 5G (Misty Green, 8GB RAM, 128GB Storage)","33,999",4.0 out of 5 stars,"2,047",
292,"Samsung Galaxy M34 5G (Midnight Blue,8GB,128GB)|120Hz sAMOLED Display|50MP Triple No Shake Cam|6000 mAh Battery|4 Gen OS Upgrade & 5 Year Security Update|16GB RAM with RAM+|Android 13|Without Charger","18,299",3.9 out of 5 stars,"4,667",
293,"Samsung Galaxy M34 5G (Midnight Blue,8GB,128GB)|120Hz sAMOLED Display|50MP Triple No Shake Cam|6000 mAh Battery|4 Gen OS Upgrade & 5 Year Security Update|16GB RAM with RAM+|Android 13|Without Charger","18,299",3.9 out of 5 stars,"4,667",
294,"OnePlus 11 5G (Titan Black, 8GB RAM, 128GB Storage)","56,999",4.3 out of 5 stars,"4,245",
295,realme narzo 50i Prime (Dark Blue 3 GB RAM +32 GB Storage) Octa-core Processor | 5000 mAh Battery,"7,299",4.0 out of 5 stars,"7,302",(19% off)
296,"realme GT Neo 3 (150W) (Sprint White, 12GB RAM, 256GB Storage)","27,390",4.6 out of 5 stars,13,(40% off)
297,"Samsung Galaxy Z Flip4 5G (Light Blue, 8GB RAM, 256GB Storage)","84,999",4.0 out of 5 stars,4,(21% off)
298,"realme C30s (Stripe Blue, 2GB RAM, 32GB Storage)","6,491",3.2 out of 5 stars,15,(35% off)
299,"Nokia C32 with 50MP Dual Rear AI Camera | Toughened Glass Back | 4GB RAM, 64GB Storage | Upto 7GB RAM with RAM Extension | 5000 mAh Battery | 1 Year Replacement Warranty | Android 13 | Mint","8,499",3.6 out of 5 stars,442,(19% off)
300,"Samsung Galaxy M33 5G (Mystique Green, 8GB, 128GB Storage) | 6000mAh Battery | Upto 16GB RAM with RAM Plus | Without Charger","16,999",4.1 out of 5 stars,"33,161",(35% off)
301,"Nokia C32 with 50MP Dual Rear AI Camera | Toughened Glass Back | 4GB RAM, 128GB Storage | Upto 7GB RAM with RAM Extension | 5000 mAh Battery | 1 Year Replacement Warranty | Android 13 | Pink","8,999",3.6 out of 5 stars,442,(18% off)
302,"IKALL S2 Smartphone with 21MP Camera (6.8"" HD Display, 6GB, 128GB Storage) (Purple)","9,799",3.9 out of 5 stars,6,
303,"Redmi 12C (Mint Green, 4GB RAM, 64GB Storage) | High Performance Mediatek Helio G85 | Big 17cm(6.71) HD+ Display with 5000mAh(typ) Battery","6,999",3.9 out of 5 stars,"8,446",
304,"realme C55 (Rainforest) 8GB RAM, 128GB Storage","13,997",4.0 out of 5 stars,246,(13% off)
305,"Nothing Phone (2) 5G (White, 12GB RAM, 256GB Storage)","49,989",3.7 out of 5 stars,21,(9% off)
306,"Vivo Y22 (Starlit Blue, 4GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers","14,499",4.1 out of 5 stars,55,(24% off)
307,"POCO C55 (Power Black, 128 GB) (6 GB RAM)","9,000",3.7 out of 5 stars,27,(36% off)
308,"Micromax in 2C (Silver, 32 GB)  (3 GB RAM)","5,999",3.4 out of 5 stars,65,(37% off)
309,"Redmi 2GB RAM, 16GB Storage Mi 6A, Black","6,999",4.1 out of 5 stars,"97,918",(13% off)
310,"TECNO Phantom X2 Pro 5G Stardust Grey (12GB RAM,256GB Storage) | World's 1st Retractable 50MP Portrait Lens | World's 1st 4nm Dimensity 9000 5G Processor","44,999",3.6 out of 5 stars,185,(27% off)
311,"Oppo Reno4 Pro Silky White, 8GB RAM, 128GB Storage) with No Cost EMI & Additional Exchange Offers","28,200",4.3 out of 5 stars,881,(26% off)
312,Nokia G42 5G | Snapdragon® 480+ 5G | 50MP Triple AI Camera | 11GB RAM (6GB RAM + 5GB Virtual RAM) | 128GB Storage | 5000mAh Battery | 2 Years Android Upgrades | 20W Fast Charger Included | So Purple,"12,499",3.7 out of 5 stars,279,
313,"OnePlus Nord 3 5G (Misty Green, 8GB RAM, 128GB Storage)","33,999",4.0 out of 5 stars,"2,047",
